customerID,tenure,MonthlyCharges,Contract,InternetService,Churn,NumServices,ContractMonths,uplift_X_T_MonthToMonth,Churn_Probability,Risk_Level,segment
5122-CYFXA,3,75.3,Month-to-month,DSL,0,4,1,-0.0623776027790588,0.8689300788348447,High,Lost Cause
8627-ZYGSZ,47,78.9,One year,Fiber optic,0,1,12,-0.155834453108037,0.008568726925906054,Low,Sleeping Dog
3410-YOQBQ,31,79.2,Two year,DSL,0,5,24,-0.1072666591587911,0.47891892334278996,Medium,Lost Cause
3170-NMYVV,50,20.15,Two year,No,0,0,24,0.2874015447877719,0.0017029947200811746,Low,Sure Thing
7410-OIEDU,10,79.85,Month-to-month,Fiber optic,0,2,1,-0.1844270962853715,0.20950539422466583,Low,Sleeping Dog
2273-QCKXA,1,49.05,Month-to-month,DSL,0,1,1,-0.3875877528005281,0.013649256823696358,Low,Sleeping Dog
0731-EBJQB,52,20.4,One year,No,0,0,12,0.3014756659550562,0.33206205540789235,Medium,Persuadable
1891-QRQSA,64,111.6,Two year,Fiber optic,0,5,24,-0.1770103949367726,0.06600249514864066,Low,Sleeping Dog
8028-PNXHQ,62,24.25,Two year,No,0,0,24,0.3020515521325539,0.7134624069121923,High,Persuadable
5630-AHZIL,3,64.5,Month-to-month,DSL,0,3,1,-0.0578605334613123,0.1521518123550792,Low,Sleeping Dog
2673-CXQEU,56,110.5,One year,Fiber optic,0,5,12,0.1088882589335908,0.011675093478227346,Low,Sure Thing
6416-JNVRK,46,55.65,One year,DSL,0,1,12,-0.0430267168894344,0.009540696279304033,Low,Sleeping Dog
5590-ZSKRV,8,54.65,Month-to-month,DSL,0,2,1,-0.0429225213336422,0.10584813300199995,Low,Sleeping Dog
0191-ZHSKZ,30,74.75,Month-to-month,DSL,0,4,1,-0.2007841712984188,0.026799028243499032,Low,Sleeping Dog
3887-PBQAO,45,25.9,One year,No,0,0,12,0.3248477833408759,0.00327588410913153,Low,Sure Thing
5919-TMRGD,1,79.35,Month-to-month,Fiber optic,1,1,1,-0.3364827905478125,0.4608117064303303,Medium,Lost Cause
8108-UXRQN,11,50.55,Month-to-month,DSL,0,3,1,-0.0549774751715577,0.002122635381958882,Low,Sleeping Dog
9191-MYQKX,7,75.15,Month-to-month,Fiber optic,1,1,1,-0.188895097959676,0.07065582953524613,Low,Sleeping Dog
9919-YLNNG,42,103.8,Month-to-month,Fiber optic,0,5,1,-0.2083957834607075,0.1949825557726499,Low,Sleeping Dog
0318-ZOPWS,49,20.15,Two year,No,0,0,24,0.2874015447877719,0.5163648340712925,Medium,Persuadable
4445-ZJNMU,9,99.3,Month-to-month,Fiber optic,0,3,1,-0.1241052458807,0.00907019024338425,Low,Sleeping Dog
4808-YNLEU,35,62.15,One year,DSL,0,2,12,0.0121829286915625,0.7372974823423665,High,Persuadable
1862-QRWPE,48,20.65,Two year,No,0,0,24,0.3014756659550562,0.07399028814000988,Low,Sure Thing
2796-NNUFI,46,19.95,Two year,No,0,0,24,0.3107736621735916,0.2329248285088963,Low,Sure Thing
3016-KSVCP,29,33.75,Month-to-month,DSL,0,1,1,-0.1431749481826455,0.021708028440645063,Low,Sleeping Dog
4767-HZZHQ,30,82.05,Month-to-month,Fiber optic,0,2,1,-0.1963161696241143,0.338078217185255,Medium,Lost Cause
2424-WVHPL,1,74.7,Month-to-month,Fiber optic,0,1,1,-3.350675737787557,0.35114941678337813,Medium,Lost Cause
7233-PAHHL,66,84.0,Two year,DSL,0,5,24,-0.1427051488034974,0.12703574974353612,Low,Sleeping Dog
6067-NGCEU,65,111.05,Month-to-month,Fiber optic,0,5,1,0.1283838630914809,0.8670121613203773,High,Persuadable
9848-JQJTX,72,100.9,Two year,Fiber optic,0,4,24,-0.0912352460079429,0.0249713349885984,Low,Sleeping Dog
8637-XJIVR,12,78.95,Month-to-month,Fiber optic,1,1,1,-0.1772557448634298,0.031045007687761774,Low,Sleeping Dog
9803-FTJCG,71,66.85,One year,DSL,0,3,12,-0.0019232938436765,0.07402900163805788,Low,Sleeping Dog
0278-YXOOG,5,21.05,Month-to-month,No,1,0,1,0.2934797071108728,0.7860521587815702,High,Persuadable
3212-KXOCR,52,21.0,Two year,No,0,0,24,0.3014756659550562,0.002510588068471325,Low,Sure Thing
4598-XLKNJ,25,98.5,Month-to-month,Fiber optic,1,4,1,-0.1818264544050471,0.8106034786634755,High,Lost Cause
6380-ARCEH,1,20.2,Month-to-month,No,0,0,1,0.278060819952042,0.030282028690886215,Low,Sure Thing
3679-XASPY,1,19.45,Month-to-month,No,0,0,1,0.278060819952042,0.5091196682639196,Medium,Persuadable
7123-WQUHX,38,95.0,One year,Fiber optic,0,3,12,-0.1293775848663892,0.8144737922101907,High,Lost Cause
5386-THSLQ,66,45.55,One year,DSL,0,3,12,-0.0404397491734427,0.021365743444706754,Low,Sleeping Dog
3192-NQECA,68,110.0,Two year,Fiber optic,1,5,24,0.1527709701109826,0.8407575032254896,High,Persuadable
6180-YBIQI,5,24.3,Month-to-month,DSL,0,0,1,0.2934797071108728,0.5948418983206966,Medium,Persuadable
6728-DKUCO,72,104.15,One year,Fiber optic,0,4,12,-0.0608999244718934,0.009936750560732193,Low,Sleeping Dog
9750-BOOHV,32,30.15,One year,DSL,0,1,12,-0.2366769939265213,0.12440162345734786,Low,Sleeping Dog
8597-CWYHH,43,94.35,One year,Fiber optic,0,2,12,-0.1293775848663892,0.0849610488644184,Low,Sleeping Dog
2848-YXSMW,72,19.4,Two year,No,0,0,24,0.2543004633347139,0.0035384421734992295,Low,Sure Thing
0486-HECZI,55,96.75,Month-to-month,Fiber optic,1,3,1,-0.1519870047465982,0.6418596859284472,High,Lost Cause
4549-ZDQYY,52,57.95,One year,DSL,0,3,12,-0.0304446781865736,0.05611317329504434,Low,Sleeping Dog
5712-AHQNN,43,91.65,Month-to-month,Fiber optic,0,3,1,-0.1293775848663892,0.9046264745636511,High,Lost Cause
4846-WHAFZ,37,76.5,Month-to-month,Fiber optic,1,0,1,-0.1989289011265257,0.08800926550980741,Low,Sleeping Dog
5256-SKJGO,64,54.6,Two year,DSL,0,4,24,-0.0353140707622275,0.6475843971513102,High,Lost Cause
3071-VBYPO,3,89.85,Month-to-month,Fiber optic,0,3,1,0.0239380469780943,0.740790297874326,High,Persuadable
9560-BBZXK,36,31.05,Two year,DSL,0,1,24,-0.0982252299922637,0.5486944599401727,Medium,Lost Cause
5299-RULOA,10,100.25,Month-to-month,Fiber optic,1,3,1,-0.1774424980358419,0.4695166919904603,Medium,Lost Cause
8402-OOOHJ,41,20.65,Two year,No,0,0,24,0.3248477833408759,0.1591412807472241,Low,Sure Thing
9445-ZUEQE,27,85.2,Month-to-month,Fiber optic,0,2,1,-0.1841431621603205,0.7094953378350048,High,Lost Cause
1091-SOZGA,56,99.8,One year,Fiber optic,0,3,12,-0.1434727003399177,0.3264023854576154,Medium,Lost Cause
2928-HLDBA,6,20.7,Month-to-month,No,0,0,1,0.2995482244176907,0.7588457786137383,High,Persuadable
0404-SWRVG,3,74.4,Month-to-month,Fiber optic,1,0,1,-0.0692940297079543,0.6533631956060116,High,Lost Cause
6497-TILVL,7,50.7,Month-to-month,DSL,0,1,1,-0.0549774751715577,0.24234689872636914,Low,Sleeping Dog
7219-TLZHO,4,20.85,Month-to-month,No,0,0,1,0.2934797071108728,0.3334829970385535,Medium,Persuadable
4622-YNKIJ,33,88.95,Two year,Fiber optic,0,3,24,-0.1293775848663892,0.04270756984854108,Low,Sleeping Dog
4412-YLTKF,27,78.05,Month-to-month,Fiber optic,1,1,1,-0.2007841712984188,0.019161885414201118,Low,Sleeping Dog
6734-PSBAW,72,23.55,Two year,No,0,0,24,0.3087056166015536,0.215188784685966,Low,Sure Thing
3930-ZGWVE,1,19.75,Month-to-month,No,0,0,1,0.278060819952042,0.5641083020450632,Medium,Persuadable
2639-UGMAZ,71,56.45,One year,DSL,0,4,12,0.0394297604606195,0.03760875000195432,Low,Sure Thing
2876-GZYZC,13,85.95,Month-to-month,Fiber optic,0,1,1,-0.1482423371795192,0.017274417004128594,Low,Sleeping Dog
6207-WIOLX,25,58.6,Month-to-month,DSL,1,5,1,-0.0602841278450226,0.022988830433797607,Low,Sleeping Dog
8587-XYZSF,67,50.55,Two year,DSL,0,1,24,-0.047369024600143,0.06526326093202912,Low,Sleeping Dog
3091-FYHKI,1,35.45,Month-to-month,DSL,1,1,1,-0.3322638787828313,0.13506044180984475,Low,Sleeping Dog
2372-HWUHI,2,44.35,Month-to-month,DSL,1,0,1,-0.0847859362721762,0.7075018909110128,High,Lost Cause
7799-LGRDP,43,25.7,Two year,No,0,0,24,0.3248477833408759,0.8039564689408093,High,Persuadable
7850-VWJUU,23,75.0,Month-to-month,Fiber optic,0,1,1,-0.1760468981216644,0.7954325827199812,High,Lost Cause
3774-VBNXY,64,20.2,Two year,No,0,0,24,0.2879774309652697,0.33956132418220136,Medium,Persuadable
6217-KDYWC,57,19.6,Two year,No,0,0,24,0.2874015447877719,0.007049360478152231,Low,Sure Thing
0390-DCFDQ,1,70.45,Month-to-month,Fiber optic,1,0,1,-0.6669346471035523,0.21668250429604222,Low,Sleeping Dog
3146-MSEGF,72,88.05,Two year,DSL,0,6,24,-0.0790855971979795,0.1644450429452567,Low,Sleeping Dog
4080-OGPJL,8,71.15,Month-to-month,DSL,1,3,1,-0.156218419364147,0.004319134549352354,Low,Sleeping Dog
1095-WGNGG,61,101.05,Two year,Fiber optic,0,3,24,-0.1551835090415277,0.14042144495356224,Low,Sleeping Dog
2636-SJDOU,64,84.3,One year,Fiber optic,0,2,12,-0.1427051488034974,0.18451038196743186,Low,Sleeping Dog
1131-QQZEB,71,23.95,Two year,No,0,0,24,0.3119619861662792,0.009602495818548473,Low,Sure Thing
5716-EZXZN,65,99.05,Two year,Fiber optic,0,4,24,-0.1318741366415435,0.21301084367768808,Low,Sleeping Dog
6837-BJYDQ,3,19.6,One year,No,0,0,12,0.2794055859435885,0.5919310249954376,Medium,Persuadable
2135-RXIHG,1,45.65,Month-to-month,DSL,1,0,1,-0.1340528840520785,0.9386076849144812,High,Lost Cause
6440-DKQGE,30,64.5,One year,DSL,0,3,12,-0.0636810894932372,0.43009943834949443,Medium,Lost Cause
3466-BYAVD,15,69.5,Month-to-month,DSL,0,4,1,-0.1381599315318153,0.15585419581130353,Low,Sleeping Dog
3780-YVMFA,8,68.55,Month-to-month,DSL,0,3,1,-0.1435298108351631,0.2655309526886812,Low,Sleeping Dog
3874-EQOEP,7,95.0,Month-to-month,Fiber optic,1,2,1,-0.1947171429797015,0.1443352617306273,Low,Sleeping Dog
1679-JRFBR,70,108.15,One year,Fiber optic,0,5,12,0.1592009561901492,0.054416713504503535,Low,Sure Thing
9073-ZZIAY,62,86.1,Two year,DSL,0,6,24,-0.1349810883905759,0.9120990977102226,High,Lost Cause
3077-RSNTJ,6,19.7,Month-to-month,No,0,0,1,0.2854741032504064,0.40472187157158107,Medium,Persuadable
6551-GNYDG,14,80.9,Month-to-month,Fiber optic,0,1,1,-0.1790572169820237,0.15526865580909893,Low,Sleeping Dog
9167-APMXZ,22,84.15,Month-to-month,Fiber optic,0,1,1,-0.159405888983566,0.6146239211781039,High,Lost Cause
2749-CTKAJ,22,20.15,One year,No,0,0,12,0.2905612171599642,0.03143457260810918,Low,Sure Thing
6371-NZYEG,16,64.25,Two year,DSL,0,3,24,-0.0464221368511466,0.2559386435757019,Low,Sleeping Dog
7554-NEWDD,10,25.7,Two year,No,0,0,24,0.2995482244176907,0.006947202242906742,Low,Sure Thing
8992-VONJD,13,56.0,Month-to-month,DSL,0,2,1,-0.0597996705119363,0.010695880685182494,Low,Sleeping Dog
0867-MKZVY,20,82.4,Month-to-month,Fiber optic,1,1,1,-0.1715788964473599,0.0032701773958533297,Low,Sleeping Dog
4482-EWFMI,2,69.7,Month-to-month,Fiber optic,0,0,1,-0.0896779329829589,0.013556667228921786,Low,Sleeping Dog
4648-YPBTM,53,73.9,Two year,DSL,0,4,24,0.0008871334110579,0.023428681940091355,Low,Sure Thing
2907-ILJBN,11,20.6,One year,No,0,0,12,0.2995482244176907,0.005467152163618292,Low,Sure Thing
6345-FZOQH,69,19.9,Two year,No,0,0,24,0.3059406368399833,0.4877254643181226,Medium,Persuadable
3376-BMGFE,4,70.9,Month-to-month,Fiber optic,1,0,1,-0.1622869366709649,0.004423160284909706,Low,Sleeping Dog
5997-OPVFA,72,89.05,Two year,DSL,0,6,24,-0.068941026666363,0.530824727082298,Medium,Lost Cause
3445-HXXGF,58,45.3,Month-to-month,DSL,1,3,1,-0.0996690340579972,0.8491713717384132,High,Lost Cause
1159-WFSGR,16,20.4,Month-to-month,No,0,0,1,0.3080748297183739,0.12230535939880481,Low,Sure Thing
7654-YWJUF,43,84.25,One year,Fiber optic,0,3,12,-0.1391934439699387,0.004328511789338549,Low,Sleeping Dog
1875-QIVME,2,104.4,Month-to-month,Fiber optic,1,4,1,1.8915837308809809,0.03756151480568145,Low,Sure Thing
6727-IOTLZ,14,81.95,Two year,DSL,0,5,24,-0.1790572169820237,0.12224253926377861,Low,Sleeping Dog
0691-JVSYA,53,94.85,One year,Fiber optic,1,3,12,-0.1444878533983221,0.0807466444515154,Low,Sleeping Dog
5918-VUKWP,32,20.55,One year,No,0,0,12,0.3248477833408759,0.0902832246431658,Low,Sure Thing
1744-JHKYS,34,24.7,Month-to-month,No,0,0,1,0.3248477833408759,0.249419912165853,Low,Sure Thing
2656-FMOKZ,15,74.45,Month-to-month,Fiber optic,1,0,1,-0.1165728248760815,0.23424058824624913,Low,Sleeping Dog
2070-FNEXE,7,76.45,Month-to-month,Fiber optic,1,1,1,-0.188895097959676,0.3257663413353859,Medium,Lost Cause
5947-SGKCL,15,105.35,Month-to-month,Fiber optic,0,4,1,0.0144981667540832,0.11944362818889964,Low,Sure Thing
3712-PKXZA,61,20.55,One year,No,0,0,12,0.3020515521325539,0.6490690870269193,High,Persuadable
6317-YPKDH,1,29.95,Month-to-month,DSL,1,1,1,-0.4738723687144244,0.5424112007851486,Medium,Lost Cause
6582-OIVSP,1,45.3,Month-to-month,DSL,0,0,1,-0.1340528840520785,0.7461142259425032,High,Lost Cause
9367-WXLCH,8,84.5,Month-to-month,Fiber optic,1,1,1,-0.1613362768957884,0.06533869504338173,Low,Sleeping Dog
5524-KHNJP,33,74.75,One year,DSL,0,4,12,-0.155834453108037,0.9546348051952527,High,Lost Cause
1918-ZBFQJ,13,79.25,Month-to-month,Fiber optic,1,2,1,-0.1835252186563282,0.260668912736351,Low,Sleeping Dog
1024-GUALD,1,24.8,Month-to-month,DSL,1,0,1,0.2921349411193263,0.7953587124141746,High,Persuadable
4827-USJHP,20,51.8,Month-to-month,DSL,0,1,1,-0.0409921334214198,0.10135536918102661,Low,Sleeping Dog
8167-GJLRN,3,30.4,Month-to-month,DSL,0,1,1,-0.2680450701565244,0.019081565043538737,Low,Sleeping Dog
0956-SYCWG,13,19.65,One year,No,0,0,12,0.2940007085510896,0.0050070077946485604,Low,Sure Thing
8017-UVSZU,40,56.6,Month-to-month,DSL,0,1,1,0.0306744548424291,0.22128651639840344,Low,Sure Thing
7100-FQPRV,43,71.9,One year,DSL,0,3,12,-0.1231577745125081,0.7774359653905165,High,Lost Cause
2472-OVKUP,6,91.0,Month-to-month,Fiber optic,1,3,1,-0.1947171429797015,0.1439000469571792,Low,Sleeping Dog
2984-RGEYA,69,19.75,Two year,No,0,0,24,0.3059406368399833,0.5347884117428489,Medium,Persuadable
9680-NIAUV,72,109.7,Two year,Fiber optic,0,5,24,0.1527709701109826,0.0019089366440129326,Low,Sure Thing
2146-EGVDT,59,19.3,Two year,No,0,0,24,0.2874015447877719,0.7376202426097055,High,Persuadable
2604-IJPDU,20,96.55,Month-to-month,Fiber optic,0,4,1,-0.1570891812282926,0.37592754759852287,Medium,Lost Cause
9178-JHUVJ,24,24.1,Two year,No,0,0,24,0.279898065150494,0.7337495834718925,High,Persuadable
6168-YBYNP,59,111.35,Month-to-month,Fiber optic,0,5,1,-0.3206167746766732,0.002725605998446954,Low,Sleeping Dog
7255-SSFBC,72,112.25,Two year,Fiber optic,0,5,24,0.1205544698415365,0.005901746199323002,Low,Sure Thing
3645-DEYGF,1,20.75,Month-to-month,No,0,0,1,0.2921349411193263,0.12433337923608896,Low,Sure Thing
9323-HGFWY,27,101.9,One year,Fiber optic,0,4,12,-0.1966215223983509,0.6232610924007429,High,Lost Cause
8544-GOQSH,14,80.05,Month-to-month,Fiber optic,0,2,1,-0.1790572169820237,0.005434019734856077,Low,Sleeping Dog
3363-DTIVD,71,105.55,Two year,Fiber optic,0,4,24,-0.1209061080141463,0.662010305483162,High,Lost Cause
7018-WBJNK,13,78.3,Month-to-month,Fiber optic,0,1,1,-0.1835252186563282,0.9326990058454001,High,Lost Cause
9142-KZXOP,44,68.85,Month-to-month,Fiber optic,0,0,1,-0.1104691659835242,0.013763453361408268,Low,Sleeping Dog
7674-YTAFD,33,79.95,One year,Fiber optic,0,2,12,-0.1513664514337325,0.8934670762821262,High,Lost Cause
6348-SNFUS,72,55.45,Two year,DSL,0,5,24,-0.0039716109486135,0.07782699181812114,Low,Sleeping Dog
1285-OKIPP,1,79.9,Month-to-month,Fiber optic,1,1,1,-0.332014788873508,0.5732881355819872,Medium,Lost Cause
7825-ECJRF,19,106.6,Month-to-month,Fiber optic,1,5,1,-0.1811794352820341,0.660743990784484,High,Lost Cause
1347-KTTTA,64,102.45,One year,Fiber optic,0,5,12,-0.1551835090415277,0.4060538719536053,Medium,Lost Cause
7841-TZDMQ,2,46.0,Month-to-month,DSL,1,0,1,-0.0847859362721762,0.466014085467564,Medium,Lost Cause
4195-NZGTA,1,25.25,Month-to-month,DSL,0,0,1,0.2921349411193263,0.005923987205990207,Low,Sure Thing
7157-SMCFK,61,19.75,Two year,No,0,0,24,0.2879774309652697,0.19316086783800493,Low,Sure Thing
4709-LKHYG,29,20.0,One year,No,0,0,12,0.2658239439832097,0.06536839772984575,Low,Sure Thing
2504-DSHIH,23,86.8,Month-to-month,Fiber optic,0,1,1,-0.1516818285706446,0.1037485144172992,Low,Sleeping Dog
0699-NDKJM,57,58.75,Month-to-month,DSL,0,5,1,-0.0304446781865736,0.007181920102054786,Low,Sleeping Dog
9286-BHDQG,72,45.25,Two year,DSL,0,4,24,-0.0397665085803296,0.489821956496665,Medium,Lost Cause
0230-WEQUW,66,56.6,Two year,DSL,0,5,24,0.016140072487994,0.0016647222528189981,Low,Sure Thing
2040-LDIWQ,65,84.2,Two year,DSL,0,5,24,-0.1427051488034974,0.006571603821013382,Low,Sleeping Dog
6496-JDSSB,8,80.0,Month-to-month,Fiber optic,0,1,1,-0.1844270962853715,0.03506593670301432,Low,Sleeping Dog
9408-SSNVZ,4,70.15,Month-to-month,Fiber optic,1,0,1,-0.1116263366533096,0.0766358005382211,Low,Sleeping Dog
4443-EMBNA,71,24.75,Two year,No,0,0,24,0.3200147580072676,0.7650084434734777,High,Persuadable
6469-MRVET,1,20.2,One year,No,0,0,12,0.278060819952042,0.011660527414110422,Low,Sure Thing
0742-MOABM,4,50.05,Month-to-month,DSL,1,1,1,-0.0610459924783757,0.014022410149048736,Low,Sleeping Dog
5961-VUSRV,12,19.35,One year,No,0,0,12,0.2971134563466525,0.19461476751278953,Low,Sure Thing
6778-JFCMK,24,50.6,One year,DSL,0,3,12,-0.0777843604360898,0.04161194360436895,Low,Sleeping Dog
6341-JVQGF,31,81.15,One year,DSL,0,5,12,-0.1027986574844866,0.006741156082396535,Low,Sleeping Dog
2232-DMLXU,1,55.2,Month-to-month,DSL,1,1,1,0.0599551303353236,0.1734980295681137,Low,Sure Thing
